disasterNumber,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,paLoadDate,iaLoadDate
2029,,,,,,,,,
2030,,,,,,,,,
2031,,,,,,,,,
2032,,,,,,,,,
2033,,,,,,,,,
2034,,,,,,,,,
2035,,,,,,,,,
2036,,,,,,,,,
2037,,,,,,,,,
2038,,,,,,,,,
2039,,,,,,,,,
2040,,,,,,,,,
2041,,,,,,,,,
2391,,,,292087.28,292087.28,,,2026-02-06T00:00:00.000Z,
2043,,,,,,,,,
2274,,,,27252.68,27252.68,,,2026-02-06T00:00:00.000Z,
2045,,,,,,,,,
2046,,,,,,,,,
2047,,,,,,,,,
2048,,,,,,,,,
2049,,,,,,,,,
2050,,,,,,,,,
2051,,,,,,,,,
2052,,,,,,,,,
2053,,,,,,,,,
2054,,,,,,,,,
2055,,,,,,,,,
2056,,,,,,,,,
2057,,,,,,,,,
2058,,,,,,,,,
2059,,,,,,,,,
2060,,,,,,,,,
2061,,,,,,,,,
2062,,,,,,,,,
2063,,,,,,,,,
2064,,,,,,,,,
2065,,,,,,,,,
2066,,,,,,,,,
2067,,,,,,,,,
2068,,,,,,,,,
2069,,,,,,,,,
2070,,,,,,,,,
2141,,,,10298.4,10298.4,,,2026-02-06T00:00:00.000Z,
2072,,,,,,,,,
4703,,,,,,,0.0,,
2430,,,,0.0,0.0,,,2026-02-06T00:00:00.000Z,
2574,,,,152571.46,2403.19,,0.0,2026-02-06T00:00:00.000Z,
2319,,,,1050617.89,1050617.89,,,2026-02-06T00:00:00.000Z,
2077,,,,,,,,,
2078,,,,,,,,,
2079,,,,,,,,,
3105,,,,24877863.19,24776249.46,101613.73,,2026-02-06T00:00:00.000Z,
5586,,,,,,,0.0,,
5292,,,,329786.2,2207.19,,408447.88,2026-02-06T00:00:00.000Z,
2111,,,,2887129.0,2887129.0,,,2026-02-06T00:00:00.000Z,
2270,,,,109772.6,109772.6,,,2026-02-06T00:00:00.000Z,
2356,,,,11549.67,11549.67,,,2026-02-06T00:00:00.000Z,
2110,,,,16959.0,16959.0,,,2026-02-06T00:00:00.000Z,
3193,,,,2631914.91,2662225.4,,,2026-02-06T00:00:00.000Z,
3201,,,,49945087.29,49907838.54,,,2026-02-06T00:00:00.000Z,
2231,,,,9565.0,9565.0,,,2026-02-06T00:00:00.000Z,
1354,,,,185489007.3,152443939.55,33092101.88,28495935.0,2026-02-06T00:00:00.000Z,
1547,,,,12821500.42,4499165.39,8274409.55,630116.0,2026-02-06T00:00:00.000Z,
3190,,,,2308324.53,2308324.53,,,2026-02-06T00:00:00.000Z,
5581,,,,,,,0.0,,
2093,,,,,,,,,
1396,,,,4853317.12,681327.02,3553040.63,93818.0,2026-02-06T00:00:00.000Z,
1407,,,,10952618.23,614423.27,10272253.0,2133460.0,2026-02-06T00:00:00.000Z,
4282,,,,4786876.55,3514800.26,1134479.29,580615.77,2026-05-08T00:00:00.000Z,
1386,,,,7390259.93,837090.99,6533634.13,1663497.0,2026-02-06T00:00:00.000Z,
1882,,,,3536705.06,3536705.01,,0.0,2026-02-06T00:00:00.000Z,
4051,,,,71006602.75,66665786.34,4123295.55,4882327.14,2026-02-06T00:00:00.000Z,
2100,,,,,,,,,
2101,,,,,,,,,
4729,,,,20898992.89,6905259.35,13025180.64,0.0,2026-05-08T00:00:00.000Z,
5589,,,,,,,0.0,,
4674,,,,11279745.37,2230236.9,7576071.82,809061.48,2026-05-08T00:00:00.000Z,
2105,,,,,,,,,
2106,,,,,,,,,
3498,,,,1633697.62,1538180.25,,,2026-05-08T00:00:00.000Z,
3102,,,,167848.74,167848.74,,,2026-02-06T00:00:00.000Z,
3108,,,,498136.8,498136.8,,,2026-02-06T00:00:00.000Z,
2088,,,,138096.0,138096.0,,,2026-02-06T00:00:00.000Z,
2120,,,,106274.0,106274.0,,,2026-02-06T00:00:00.000Z,
1978,,,,7041838.42,2135392.16,4865260.83,1186863.0,2026-02-06T00:00:00.000Z,
4448,,,,971209.44,251829.49,632652.34,0.0,2026-05-08T00:00:00.000Z,
5302,,,,6870054.38,254101.83,,0.0,2026-05-08T00:00:00.000Z,
1997,,,,13570671.84,3268242.01,9830601.68,1807320.0,2026-02-06T00:00:00.000Z,
4262,,,,46994294.43,45407153.42,625146.24,5301884.96,2026-02-06T00:00:00.000Z,
4289,,,,16783200.6,9301159.0,6873685.55,3738576.45,2026-02-06T00:00:00.000Z,
5149,,,,1386170.88,1381732.22,,0.0,2026-05-08T00:00:00.000Z,
4743,,,,1293663.48,47305.09,1136860.74,0.0,2026-05-08T00:00:00.000Z,
3192,,,,9529091.7,9566291.2,,,2026-02-06T00:00:00.000Z,
4038,,,,11018960.86,2675511.27,8286071.87,1441802.0,2026-02-06T00:00:00.000Z,
1363,,,,3019659.14,103814.9,2934328.57,431125.0,2026-02-06T00:00:00.000Z,
2228,,,,84854.0,82772.0,2082.0,,2026-02-06T00:00:00.000Z,
1619,,,,3698478.5,840787.72,2905365.21,127399.0,2026-02-06T00:00:00.000Z,
4824,,,,2596545.91,276439.91,1933333.34,20778.0,2026-05-08T00:00:00.000Z,
4772,,,,1734151.75,594547.1,1139604.65,0.0,2026-05-08T00:00:00.000Z,
1318,,,,13588960.08,13193223.02,451699.92,1454376.0,2026-02-06T00:00:00.000Z,
1626,,,,38376189.28,212317.97,38102662.32,571436.0,2026-02-06T00:00:00.000Z,
1260,,,,9863594.0,3896685.75,5833055.72,1875688.0,2026-02-06T00:00:00.000Z,
4853,,,,230809.98,,230809.98,0.0,2026-05-08T00:00:00.000Z,
4897,,,,398964.11,,,0.0,2026-05-08T00:00:00.000Z,
2133,,,,19758.2,19758.2,,,2026-02-06T00:00:00.000Z,
3618,,,,54376.7,54376.7,,,2026-05-08T00:00:00.000Z,
5608,,,,,,,0.0,,
3254,,,,5201233.4,4996424.95,,,2026-02-06T00:00:00.000Z,
4493,11336909.66,,11336909.66,141681533.61,129364088.84,,3172313.77,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2234,,,,393.0,393.0,,,2026-02-06T00:00:00.000Z,
1252,,,,2020087.91,174832.0,1845255.91,286725.0,2026-02-06T00:00:00.000Z,
4672,6807601.19,2153057.51,4654543.68,90763237.3,1257960.7,79207140.49,1631308.48,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1820,1251943.17,1000815.99,251127.18,729454.15,561493.99,144384.16,300107.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4659,,,,21274106.56,5320988.65,14952645.37,2789516.61,2026-05-08T00:00:00.000Z,
4287,,,,5798145.11,448438.27,5022776.92,275024.93,2026-02-06T00:00:00.000Z,
3553,,,,6215069.13,6215069.13,,,2026-02-06T00:00:00.000Z,
2225,,,,1184534.16,1184534.16,,,2026-02-06T00:00:00.000Z,
4607,196961378.26,161471627.63,35489750.63,36925123.9,12522119.13,21983428.83,6700792.44,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
3114,,,,2682126.7,2682126.7,,,2026-02-06T00:00:00.000Z,
1943,,,,22213776.98,11536454.74,10267899.58,974818.0,2026-02-06T00:00:00.000Z,
2229,,,,18799.0,18338.0,461.0,,2026-02-06T00:00:00.000Z,
4036,,,,2466820.86,2387707.68,79113.18,98442.04,2026-02-06T00:00:00.000Z,
5487,,,,201333.88,194348.66,,493124.96,2026-05-08T00:00:00.000Z,
3117,,,,4478262.25,4478262.25,,,2026-02-06T00:00:00.000Z,
2551,,,,5321631.31,,,0.0,2026-02-06T00:00:00.000Z,
2985,,,,505445.76,26580.05,,0.0,2026-02-06T00:00:00.000Z,
4842,776962.4,524213.75,252748.65,1648501.38,6879.39,1641621.99,0.0,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
5505,,,,,,,0.0,,
1572,,,,834072.23,247469.71,574363.07,8602.0,2026-02-06T00:00:00.000Z,
1242,,,,12713027.57,10429603.75,2283423.82,1514019.0,2026-02-06T00:00:00.000Z,
2776,,,,952269.39,4203.7,,0.0,2026-02-06T00:00:00.000Z,
4279,,,,7132460.77,4427205.2,2601497.74,323833.13,2026-05-08T00:00:00.000Z,
3526,,,,0.0,0.0,,,2026-02-06T00:00:00.000Z,
3100,,,,8445699.69,8406205.94,39493.75,,2026-02-06T00:00:00.000Z,
2201,,,,99009898.86,98815713.86,194185.0,,2026-02-06T00:00:00.000Z,
1940,,,,6363902.22,3177980.28,3084920.67,1141916.0,2026-02-06T00:00:00.000Z,
2706,,,,564692.63,62825.97,,0.0,2026-02-06T00:00:00.000Z,
5078,,,,3440106.91,72265.71,,0.0,2026-02-06T00:00:00.000Z,
5093,,,,30805790.0,294372.82,,393133.31,2026-02-06T00:00:00.000Z,
2671,,,,6243071.54,34976.38,,0.0,2026-02-06T00:00:00.000Z,
4246,,,,2486685.09,328168.44,2126548.61,374875.74,2026-02-06T00:00:00.000Z,
3257,,,,360856.81,334565.71,,,2026-02-06T00:00:00.000Z,
2332,,,,199185.63,199185.63,,,2026-02-06T00:00:00.000Z,
2711,,,,1104733.0,1560.54,,0.0,2026-02-06T00:00:00.000Z,
2176,,,,,,,,,
4711,,,,21452191.58,476197.93,18943990.56,235826.42,2026-05-08T00:00:00.000Z,
2178,,,,,,,,,
5037,,,,30712289.96,65129.22,,0.0,2026-02-06T00:00:00.000Z,
2936,,,,2474182.45,12262.01,,0.0,2026-02-06T00:00:00.000Z,
5103,,,,10083188.44,26090.33,,37449.95,2026-02-06T00:00:00.000Z,
2742,,,,728769.26,,,0.0,2026-02-06T00:00:00.000Z,
2438,,,,244734.82,,,,2026-02-06T00:00:00.000Z,
2855,,,,4089121.18,448670.0,,0.0,2026-02-06T00:00:00.000Z,
5530,,,,,,,0.0,,
2680,,,,6432.11,,,0.0,2026-02-06T00:00:00.000Z,
2172,,,,9716.0,9716.0,,,2026-02-06T00:00:00.000Z,
2968,,,,139425.9,10656.22,,0.0,2026-02-06T00:00:00.000Z,
2190,,,,,,,,,
2191,,,,,,,,,
2192,,,,,,,,,
2639,,,,3338.02,,,0.0,2026-02-06T00:00:00.000Z,
2218,,,,10792.0,10527.0,265.0,,2026-02-06T00:00:00.000Z,
2195,,,,,,,,,
2196,,,,,,,,,
2197,,,,,,,,,
2198,,,,,,,,,
2166,,,,37398.2,37398.2,,,2026-02-06T00:00:00.000Z,
2200,,,,,,,,,
2203,,,,,,,,,
2204,,,,,,,,,
2205,,,,,,,,,
2206,,,,,,,,,
2207,,,,,,,,,
2208,,,,,,,,,
2209,,,,,,,,,
5239,,,,6245239.57,,,0.0,2026-02-06T00:00:00.000Z,
2211,,,,,,,,,
2212,,,,,,,,,
2097,,,,250772.0,250772.0,,,2026-02-06T00:00:00.000Z,
2214,,,,,,,,,
2215,,,,,,,,,
2099,,,,86755.2,86755.2,,,2026-02-06T00:00:00.000Z,
2747,,,,65863.96,,,0.0,2026-02-06T00:00:00.000Z,
5158,,,,415169.62,97469.35,,112088.0,2026-02-06T00:00:00.000Z,
5194,,,,3126981.79,14074.15,,3071122.89,2026-02-06T00:00:00.000Z,
5122,,,,1102989.32,54779.68,,0.0,2026-02-06T00:00:00.000Z,
2082,,,,265690.51,265690.51,,,2026-02-06T00:00:00.000Z,
2451,,,,449514.35,2572.57,,,2026-02-06T00:00:00.000Z,
2167,,,,21858.2,21858.2,,,2026-02-06T00:00:00.000Z,
2246,,,,321.0,321.0,,,2026-02-06T00:00:00.000Z,
5531,,,,,,,0.0,,
5044,,,,1077214.49,36947.91,,0.0,2026-02-06T00:00:00.000Z,
2794,,,,181364.45,3680.63,,0.0,2026-02-06T00:00:00.000Z,
2754,,,,65865.8,,,0.0,2026-02-06T00:00:00.000Z,
5235,,,,617443.25,21649.79,,0.0,2026-02-06T00:00:00.000Z,
2381,,,,53686.5,53686.5,,,2026-02-06T00:00:00.000Z,
5207,,,,37600.59,37035.31,,0.0,2026-02-06T00:00:00.000Z,
5059,,,,1329554.54,88250.84,,0.0,2026-02-06T00:00:00.000Z,
3256,,,,51276.45,51276.45,,,2026-02-06T00:00:00.000Z,
2185,,,,558515.77,558515.77,,,2026-02-06T00:00:00.000Z,
2160,,,,10498.6,10498.6,,,2026-02-06T00:00:00.000Z,
2236,,,,,,,,,
2180,,,,8006377.4,8006377.4,,,2026-02-06T00:00:00.000Z,
2199,,,,196740.6,194185.6,2555.0,,2026-02-06T00:00:00.000Z,
5242,,,,79796.27,,,0.0,2026-02-06T00:00:00.000Z,
2767,,,,28163.31,,,0.0,2026-02-06T00:00:00.000Z,
2241,,,,,,,,,
4787,3586953.2,2713497.88,873455.32,15083253.29,54662.17,14394188.45,0.0,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2154,,,,14725.9,14725.9,,,2026-02-06T00:00:00.000Z,
4502,6604151.88,,6604151.88,1066652299.14,1051107610.08,,10628580.73,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1775,,,,9638507.73,711874.01,8615701.72,93369.0,2026-02-06T00:00:00.000Z,
4439,,,,18657609.07,1582315.5,14102298.9,2102402.37,2026-05-08T00:00:00.000Z,
1714,,,,2306258.82,75893.92,2223734.18,27051.0,2026-02-06T00:00:00.000Z,
4726,,,,1253511.75,18534.27,1043679.11,0.0,2026-05-08T00:00:00.000Z,
2249,,,,,,,,,
2250,,,,,,,,,
4636,,,,12272634.56,133274.56,11532201.42,3227015.97,2026-05-08T00:00:00.000Z,
2202,,,,121107.7,119620.9,1486.8,,2026-02-06T00:00:00.000Z,
2187,,,,357301.86,357301.86,,,2026-02-06T00:00:00.000Z,
2237,,,,230928.14,230928.14,,,2026-02-06T00:00:00.000Z,
2188,,,,28676.64,28676.64,,,2026-02-06T00:00:00.000Z,
4646,,,,6297791.52,909551.93,4681366.38,163909.39,2026-05-08T00:00:00.000Z,
4202,,,,316269.06,261761.16,4137.71,570570.04,2026-05-08T00:00:00.000Z,
1300,,,,34309695.49,16704381.41,17070710.07,3599288.0,2026-02-06T00:00:00.000Z,
3497,,,,524164.12,489316.15,,,2026-05-08T00:00:00.000Z,
5359,,,,18485.01,11006.98,,0.0,2026-05-08T00:00:00.000Z,
4511,123627.88,,123627.88,126934582.16,120080343.87,,217242.66,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1606,618379758.99,523188508.49,95191250.5,369044717.3,228259770.65,137759808.06,90546358.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
2263,,,,,,,,,
2264,,,,,,,,,
2267,,,,,,,,,
2268,,,,,,,,,
4822,,,,9074356.04,1951483.68,6686512.73,93251.06,2026-05-08T00:00:00.000Z,
4673,1150178292.67,782193893.08,367984399.59,2836722760.23,2483930863.05,280956127.92,218420891.34,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2271,,,,,,,,,
4297,2962689.95,1955548.44,1007141.51,23859706.67,12204735.75,11145356.82,3706312.65,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2273,,,,,,,,,
4182,,,,39488157.03,7423823.29,30676532.74,6052490.1,2026-05-08T00:00:00.000Z,
1559,,,,2348737.81,12556.72,2344966.96,154535.0,2026-02-06T00:00:00.000Z,
2276,,,,,,,,,
2277,,,,,,,,,
2278,,,,,,,,,
2279,,,,,,,,,
2280,,,,,,,,,
2281,,,,,,,,,
4241,89803712.87,77971796.97,11831915.9,125933749.14,47487390.51,73754589.63,42121164.24,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2283,,,,,,,,,
2284,,,,,,,,,
2285,,,,,,,,,
4475,,,,10891706.06,1668346.47,8476765.93,2506624.27,2026-05-08T00:00:00.000Z,
1408,,,,7698001.21,386876.08,7231737.88,1252681.0,2026-02-06T00:00:00.000Z,
4501,131747869.39,,131747869.39,1122242646.82,1113107941.97,,16135478.52,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2289,,,,,,,,,
2290,,,,,,,,,
2291,,,,,,,,,
1699,9846774.22,8178988.91,1667785.31,88439351.38,11507911.04,75731892.09,11181858.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4702,,,,31268163.26,7006771.43,20960644.33,1249184.58,2026-05-08T00:00:00.000Z,
1586,,,,9963311.57,556544.92,9255175.35,91326.0,2026-02-06T00:00:00.000Z,
1475,6621705.06,4682638.07,1939066.99,8904595.58,484092.83,8367825.54,781278.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1584,,,,2459682.68,309943.27,2011425.97,435749.0,2026-02-06T00:00:00.000Z,
4578,,,,10013896.74,7653954.23,1651665.68,1251288.96,2026-05-08T00:00:00.000Z,
1476,13386838.38,9783608.01,3603230.37,6936604.6,2782537.86,4200530.19,1493653.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4309,,,,35730741.61,4552078.28,29771314.86,6153450.0,2026-05-08T00:00:00.000Z,
4314,,,,17084624.24,14218573.81,2360311.56,400357.83,2026-05-08T00:00:00.000Z,
1720,18462462.78,15067072.08,3395390.7,10749431.03,3361846.43,7358453.32,4523515.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4695,,,,5020816.9,584657.46,3821146.09,520291.1,2026-05-08T00:00:00.000Z,
4135,,,,4551830.57,505303.32,3784495.01,568704.0,2026-02-06T00:00:00.000Z,
4371,,,,2472947.46,2432307.48,,30018.87,2026-05-08T00:00:00.000Z,
3589,,,,1193034.07,1096744.5,,,2026-05-08T00:00:00.000Z,
4627,,,,6006551.4,756069.8,4903342.03,600566.52,2026-05-08T00:00:00.000Z,
4409,,,,4851345.9,98165.18,4162008.86,0.0,2026-05-08T00:00:00.000Z,
4436,,,,551698.83,545907.72,,0.0,2026-05-08T00:00:00.000Z,
4869,,,,452569.97,22363.25,41525.19,0.0,2026-05-08T00:00:00.000Z,
5253,,,,6691.95,6691.95,,0.0,2026-05-08T00:00:00.000Z,
2311,,,,,,,,,
2312,,,,,,,,,
1598,,,,1993482.38,1025949.18,950776.43,0.0,2026-02-06T00:00:00.000Z,
1648,,,,7012366.06,943817.7,5957663.65,375402.0,2026-02-06T00:00:00.000Z,
4882,,,,8555256.33,3303347.52,4261272.81,0.0,2026-05-08T00:00:00.000Z,
1544,9262094.78,6458352.78,2803742.0,20783468.17,1704240.02,18952507.19,1593757.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4195,155631144.18,123667225.35,31963918.83,15216615.38,8365546.79,6818021.94,24485683.41,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1703,,,,3337603.76,435292.86,2894410.76,423213.0,2026-02-06T00:00:00.000Z,
1405,,,,4796806.64,1194355.67,3609871.51,752279.0,2026-02-06T00:00:00.000Z,
4380,,,,2996541.03,97652.86,2697689.82,30845.37,2026-02-06T00:00:00.000Z,
4814,,,,14521156.51,3181288.01,8682842.85,0.0,2026-05-08T00:00:00.000Z,
4877,56806424.93,35904402.75,20902022.18,90955774.98,83338417.84,6499996.1,0.0,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
4844,,,,4042817.87,2344526.6,1698291.27,0.0,2026-05-08T00:00:00.000Z,
4544,,,,3248271.66,1064980.76,1740860.83,727715.55,2026-05-08T00:00:00.000Z,
5459,,,,,,,0.0,,
1912,20784629.22,17774255.03,3010374.19,22537694.93,2124005.07,19878091.74,7554240.74,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4568,,,,30614773.58,14715075.3,14094702.9,3460492.34,2026-05-08T00:00:00.000Z,
4097,,,,10799381.1,3801476.88,6531562.22,1766463.25,2026-05-08T00:00:00.000Z,
1603,5247169458.98,3745182194.99,1501987263.99,13614901063.01,3069975588.15,10056604805.68,1684463631.38,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1973,5526673.58,4096508.97,1430164.61,20288231.29,12477864.03,7231149.02,4331361.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4338,13643351.67,10119352.55,3523999.12,115765758.36,58467381.66,45325904.56,15410809.96,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2339,,,,,,,,,
4220,,,,6320816.79,11537.97,6304613.58,720273.38,2026-02-06T00:00:00.000Z,
2688,,,,1228860.77,274544.17,,0.0,2026-02-06T00:00:00.000Z,
1985,,,,3490382.1,2796925.42,581688.68,405892.16,2026-02-06T00:00:00.000Z,
4230,,,,10965009.42,800893.75,9476630.46,1568836.6,2026-02-06T00:00:00.000Z,
1956,,,,3990138.12,211695.1,3634367.37,728851.0,2026-02-06T00:00:00.000Z,
4073,,,,2914288.63,2893300.11,20988.52,102842.93,2026-02-06T00:00:00.000Z,
4032,,,,1995886.96,441160.24,1541625.37,300596.0,2026-02-06T00:00:00.000Z,
4712,,,,29021882.57,2806916.93,25139687.7,306026.4,2026-05-08T00:00:00.000Z,
4301,,,,142498482.01,28255767.64,109100868.59,17234910.28,2026-05-08T00:00:00.000Z,
4198,,,,1609009.61,47468.58,1550629.74,110714.19,2026-02-06T00:00:00.000Z,
4081,18066465.05,15342803.23,2723661.82,37399646.71,18269641.15,18039199.03,6780294.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
2351,,,,,,,,,
2352,,,,,,,,,
1740,7674152.07,6753112.89,921039.18,4976848.47,1106726.53,3700701.27,1300611.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4538,,,,10675758.34,1149046.63,8762906.4,2297149.51,2026-05-08T00:00:00.000Z,
1992,,,,1756346.8,900587.41,658196.23,306106.24,2026-02-06T00:00:00.000Z,
1495,1756.2,1756.2,,8683492.28,534547.26,8175107.84,443191.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1879,,,,12773947.54,112691.04,12518072.96,992229.0,2026-02-06T00:00:00.000Z,
4718,,,,5825018.99,162575.38,5234357.98,879044.32,2026-05-08T00:00:00.000Z,
4455,,,,4322761.87,451755.61,3555543.65,303876.88,2026-05-08T00:00:00.000Z,
1275,,,,5322523.58,2426827.39,2821849.55,853245.0,2026-02-06T00:00:00.000Z,
1838,13905805.19,13048600.38,857204.81,21409371.72,7864079.89,14067288.92,4283824.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4325,,,,15098468.62,2605736.36,12292687.83,1766204.25,2026-02-06T00:00:00.000Z,
5293,,,,12044668.31,726918.97,,1547606.18,2026-05-08T00:00:00.000Z,
2364,,,,,,,,,
2365,,,,,,,,,
2366,,,,,,,,,
5430,,,,,,,2218997.98,,
4105,,,,6153471.49,5824040.89,298796.6,955286.72,2026-02-06T00:00:00.000Z,
2857,,,,1890446.08,16713.59,,0.0,2026-02-06T00:00:00.000Z,
5048,,,,2273317.23,18443.35,,0.0,2026-02-06T00:00:00.000Z,
2371,,,,,,,,,
4628,,,,1691199.79,876282.16,653088.94,25304.39,2026-05-08T00:00:00.000Z,
3530,,,,2208510.74,2085708.08,,,2026-02-06T00:00:00.000Z,
2913,,,,140212.14,20608.17,,0.0,2026-02-06T00:00:00.000Z,
4638,,,,4590871.66,152707.69,3900250.01,105735.38,2026-05-08T00:00:00.000Z,
1595,21564056.01,6644116.97,14919939.04,197902127.28,118790208.11,74215141.0,11497847.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
3574,,,,80381.85,80381.85,,,2026-02-06T00:00:00.000Z,
5507,,,,,,,0.0,,
5508,,,,,,,0.0,,
5024,,,,8331302.41,271414.35,,0.0,2026-02-06T00:00:00.000Z,
1708,2428002.26,2213415.22,214587.04,7642999.09,1142606.34,6457306.31,456511.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1806,,,,1107827.99,415990.06,407110.11,3947586.15,2026-02-06T00:00:00.000Z,
2751,,,,5099.94,,,0.0,2026-02-06T00:00:00.000Z,
3139,,,,1064337.65,1064337.65,,,2026-02-06T00:00:00.000Z,
2392,,,,,,,,,
2328,,,,1457745.93,1457745.93,,,2026-02-06T00:00:00.000Z,
1392,,,,4938627.13,4905529.68,,1792038.0,2026-02-06T00:00:00.000Z,
2395,,,,,,,,,
5041,,,,5721365.01,201109.1,,0.0,2026-02-06T00:00:00.000Z,
2397,,,,,,,,,
2326,,,,70842.0,70842.0,,,2026-02-06T00:00:00.000Z,
2683,,,,2018598.83,103132.29,,0.0,2026-02-06T00:00:00.000Z,
2664,,,,498799.41,,,0.0,2026-02-06T00:00:00.000Z,
4801,,,,3360559.19,50893.33,2972164.44,0.0,2026-05-08T00:00:00.000Z,
2498,,,,458796.73,5841.16,,0.0,2026-02-06T00:00:00.000Z,
2343,,,,102666.28,102666.28,,,2026-02-06T00:00:00.000Z,
4608,,,,3696491.57,49808.37,3564559.33,131516.13,2026-05-08T00:00:00.000Z,
4071,2784278.58,2497021.85,287256.73,11718720.76,10555032.44,1123798.87,1736368.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4774,,,,11221338.56,5220.99,10677200.82,46051.22,2026-05-08T00:00:00.000Z,
1984,4799393.02,4685835.84,113557.18,52125303.31,30268210.99,21054306.61,7676674.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
2580,,,,3012422.79,38947.0,,0.0,2026-02-06T00:00:00.000Z,
1554,4243819.01,2991644.47,1252174.54,11948606.45,3334803.34,8317605.56,892147.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
2896,,,,89674.22,17134.5,,0.0,2026-02-06T00:00:00.000Z,
5086,,,,912000.51,20640.11,,144710.56,2026-02-06T00:00:00.000Z,
5446,,,,2774175.81,1801205.99,,519947.92,2026-02-06T00:00:00.000Z,
2413,,,,,,,,,
5165,,,,119555.16,24819.02,,0.0,2026-02-06T00:00:00.000Z,
2631,,,,262646.56,,,0.0,2026-02-06T00:00:00.000Z,
1745,4069837.78,2771174.97,1298662.81,15633642.31,5888668.93,9517511.69,2847013.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
5088,,,,2135746.75,41091.87,,18415.07,2026-02-06T00:00:00.000Z,
5407,,,,32291.96,,,279292.25,2026-02-06T00:00:00.000Z,
2286,,,,25820.76,25820.76,,,2026-02-06T00:00:00.000Z,
1738,1928655.92,1789105.28,139550.64,1112379.14,389759.18,682088.96,100726.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1674,,,,124357843.32,4764531.32,119436182.08,17408694.0,2026-02-06T00:00:00.000Z,
4280,8693303.61,6904983.45,1788320.16,60151552.46,31746524.93,26594140.53,11108302.72,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
4556,,,,9720458.23,1913344.41,7134382.0,1553394.26,2026-05-08T00:00:00.000Z,
3162,,,,3663238.24,3663238.24,,,2026-02-06T00:00:00.000Z,
4168,2091456.75,375239.09,1716217.66,28624712.03,25863745.73,1979841.04,4277895.96,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
2426,,,,,,,0.0,,
4651,,,,24385610.14,23843883.58,23745.48,3564132.46,2026-05-08T00:00:00.000Z,
4666,,,,7230916.39,854443.47,5605868.35,745231.91,2026-05-08T00:00:00.000Z,
4398,,,,7313308.48,1942897.23,4484676.23,1320517.73,2026-05-08T00:00:00.000Z,
1989,3441115.24,2745020.87,696094.37,7221515.88,1651224.58,5405303.52,1653744.81,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1295,,,,38703382.74,17818465.28,20285139.28,9436261.0,2026-02-06T00:00:00.000Z,
1736,,,,24948123.75,17434937.19,7315053.96,2137722.0,2026-02-06T00:00:00.000Z,
2778,,,,595258.71,4941.2,,0.0,2026-02-06T00:00:00.000Z,
