disasterNumber,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,paLoadDate,iaLoadDate
4472,,,,86424856.21,7813306.11,69420712.49,4678978.82,2026-05-08T00:00:00.000Z,
2425,,,,697351.18,44959.17,,,2026-02-06T00:00:00.000Z,
5246,,,,16270482.58,34072.55,,0.0,2026-02-06T00:00:00.000Z,
2979,,,,3726826.58,87491.44,,0.0,2026-02-06T00:00:00.000Z,
5249,,,,2349031.77,11751.88,,0.0,2026-02-06T00:00:00.000Z,
4437,,,,971158.24,17520.99,873961.52,139036.79,2026-02-06T00:00:00.000Z,
5335,,,,1240045.95,,,0.0,2026-02-06T00:00:00.000Z,
2305,,,,374315.41,374315.41,,,2026-02-06T00:00:00.000Z,
5499,,,,,,,2773537.72,,
1321,,,,,,,316618.0,,
1322,,,,,,,305250.0,,
2716,,,,387966.83,,,0.0,2026-02-06T00:00:00.000Z,
2255,,,,193692.1,193692.1,,,2026-02-06T00:00:00.000Z,
4316,,,,1676798.53,386527.2,1287325.25,176414.25,2026-02-06T00:00:00.000Z,
5314,,,,460929.86,,,0.0,2026-02-06T00:00:00.000Z,
2997,,,,51448.94,4344.83,,0.0,2026-02-06T00:00:00.000Z,
5198,,,,7541832.83,3250.64,,0.0,2026-02-06T00:00:00.000Z,
5017,,,,684418.07,13849.74,,0.0,2026-02-06T00:00:00.000Z,
4369,,,,3908163.56,10548.34,3797955.83,12202.57,2026-02-06T00:00:00.000Z,
2657,,,,988301.75,25690.98,,0.0,2026-02-06T00:00:00.000Z,
2299,,,,4262388.45,4262388.45,,,2026-02-06T00:00:00.000Z,
2541,,,,2602493.7,5248.58,,0.0,2026-02-06T00:00:00.000Z,
5421,,,,195815.29,12002.85,,777501.0,2026-02-06T00:00:00.000Z,
2880,,,,124694.11,,,0.0,2026-02-06T00:00:00.000Z,
2573,,,,187071.69,5242.89,,0.0,2026-02-06T00:00:00.000Z,
5391,,,,6902643.83,,,0.0,2026-02-06T00:00:00.000Z,
2973,,,,785047.27,162385.01,,0.0,2026-02-06T00:00:00.000Z,
1339,,,,,,,896815.0,,
1340,,,,,,,311009.0,,
1341,,,,,,,13056.0,,
1342,,,,,,,1000930.0,,
1483,,,,868596.02,,886885.52,78581.0,2026-02-06T00:00:00.000Z,
3518,,,,39353.18,39353.18,,,2026-02-06T00:00:00.000Z,
5190,,,,76945.83,,,0.0,2026-02-06T00:00:00.000Z,
5230,,,,3811.3,466.16,,0.0,2026-02-06T00:00:00.000Z,
2272,,,,56133.0,56133.0,,,2026-02-06T00:00:00.000Z,
2221,,,,14446.0,14092.0,354.0,,2026-02-06T00:00:00.000Z,
5327,,,,3896583.31,38683.14,,7721570.92,2026-02-06T00:00:00.000Z,
5195,,,,580773.51,,,3230511.22,2026-02-06T00:00:00.000Z,
5467,,,,,,,0.0,,
1346,,,,,,,25581719.0,,
5468,,,,,,,0.0,,
1360,,,,18209539.53,9579191.49,8903962.17,2730274.0,2026-02-06T00:00:00.000Z,
1509,,,,16188809.94,9068111.07,6869111.28,980174.0,2026-02-06T00:00:00.000Z,
1297,,,,3374929.57,413506.66,2970485.64,831368.0,2026-02-06T00:00:00.000Z,
1682,,,,30374675.17,8487345.37,21269934.67,4507985.0,2026-02-06T00:00:00.000Z,
4895,,,,278311.63,260656.75,5985.2,0.0,2026-05-08T00:00:00.000Z,
1381,,,,14683135.02,2171960.59,11970103.49,4038077.0,2026-02-06T00:00:00.000Z,
4838,,,,6410073.35,3079070.83,2906190.09,0.0,2026-05-08T00:00:00.000Z,
1391,,,,4732560097.4,2090168740.98,240887893.45,264635280.0,2026-02-06T00:00:00.000Z,
5382,,,,,,,2067208.75,,
2686,,,,1333559.35,165469.13,,0.0,2026-02-06T00:00:00.000Z,
1359,,,,,,,273677.0,,
1875,,,,24581512.14,24433079.68,,3397069.0,2026-02-06T00:00:00.000Z,
4854,,,,11052300.8,8370759.79,2070085.54,164155.46,2026-05-08T00:00:00.000Z,
1919,,,,4712458.08,198341.92,4360395.62,434136.0,2026-02-06T00:00:00.000Z,
4130,,,,9033804.83,5039801.36,3691879.47,1827581.0,2026-02-06T00:00:00.000Z,
1364,,,,,,,1615134.0,,
1922,,,,12373472.43,3014643.17,9358799.27,3963820.89,2026-02-06T00:00:00.000Z,
4768,,,,35580836.42,17187257.76,16068369.68,990786.04,2026-05-08T00:00:00.000Z,
2181,,,,738080.77,738080.77,,,2026-02-06T00:00:00.000Z,
2247,,,,4595.5,4595.5,,,2026-02-06T00:00:00.000Z,
1842,6501748.46,5943688.23,558060.23,3945262.25,540831.07,3165927.18,881798.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4449,,,,63292606.55,6999726.41,54490629.04,3305696.35,2026-05-08T00:00:00.000Z,
4888,,,,3263250.6,1380269.65,1842767.19,0.0,2026-05-08T00:00:00.000Z,
4236,,,,7743787.17,469694.75,7261277.06,723711.22,2026-02-06T00:00:00.000Z,
4138,,,,40512583.94,687197.24,38348180.0,7536022.06,2026-02-06T00:00:00.000Z,
4387,,,,2577582.63,183982.03,2319673.96,36485.29,2026-02-06T00:00:00.000Z,
1773,5367078.69,4930561.66,436517.03,28697245.28,13489800.61,15062995.91,5317199.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4140,,,,6182973.09,141750.15,5917137.6,54218.73,2026-02-06T00:00:00.000Z,
1822,,,,135879596.08,25984585.11,109071876.09,27004063.0,2026-02-06T00:00:00.000Z,
4889,,,,4834326.8,651023.46,4177763.97,0.0,2026-05-08T00:00:00.000Z,
4275,,,,3045115.45,45898.98,2991554.51,71192.17,2026-02-06T00:00:00.000Z,
4252,,,,18305095.51,172539.64,18113814.3,1707464.47,2026-02-06T00:00:00.000Z,
1474,10877948.83,8093288.65,2784660.18,4833478.25,992958.11,3853581.36,842726.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
3269,,,,6247181.91,6274637.67,,,2026-02-06T00:00:00.000Z,
1629,,,,7817752.5,2747131.51,5063363.18,640210.0,2026-02-06T00:00:00.000Z,
1958,,,,13744126.49,13511916.01,132523.84,2168421.0,2026-02-06T00:00:00.000Z,
4612,,,,14925206.05,893426.6,13045110.16,0.0,2026-05-08T00:00:00.000Z,
5610,,,,,,,0.0,,
2140,,,,10342.5,10342.5,,,2026-02-06T00:00:00.000Z,
5388,,,,2746912.41,,,1462807.64,2026-02-06T00:00:00.000Z,
2130,,,,154.0,154.0,,,2026-02-06T00:00:00.000Z,
3133,,,,1991289.57,1991289.57,0.0,,2026-02-06T00:00:00.000Z,
2157,,,,58709.0,58709.0,,,2026-02-06T00:00:00.000Z,
2232,,,,13292.0,12731.0,561.0,,2026-02-06T00:00:00.000Z,
3132,,,,5429040.87,5408040.41,21000.46,,2026-02-06T00:00:00.000Z,
2114,,,,1332890.0,1332890.0,,,2026-02-06T00:00:00.000Z,
2179,,,,46133.5,46133.5,,,2026-02-06T00:00:00.000Z,
1711,18925702.89,15020214.63,3905488.26,31811618.94,3468315.72,27390490.69,1038831.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1494,1459279.09,1015627.62,443651.47,2216218.88,1798695.81,362348.24,287623.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1788,,,,2660766.77,115109.71,2544618.23,0.0,2026-02-06T00:00:00.000Z,
3292,,,,611711.02,589645.02,,,2026-02-06T00:00:00.000Z,
1351,,,,682634.87,4604.47,686029.24,98588.0,2026-02-06T00:00:00.000Z,
1848,,,,12436207.3,1616896.05,10567032.73,2065029.0,2026-02-06T00:00:00.000Z,
1638,,,,4911052.76,390469.01,4427814.47,238076.0,2026-02-06T00:00:00.000Z,
4863,,,,23933008.8,6788915.63,15857919.11,0.0,2026-05-08T00:00:00.000Z,
1447,3682703.79,1438319.22,2244384.57,5149451.95,1032707.62,3847738.96,1027046.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4383,,,,8599351.2,499059.52,7180762.74,1866733.71,2026-05-08T00:00:00.000Z,
4825,,,,41588530.36,6281748.37,32491967.95,0.0,2026-05-08T00:00:00.000Z,
5451,,,,23815278.46,3216272.49,,0.0,2026-02-06T00:00:00.000Z,
4115,,,,8231034.73,6376285.84,1795795.73,1175629.0,2026-02-06T00:00:00.000Z,
1856,,,,2203358.38,383569.5,1776744.36,185505.0,2026-02-06T00:00:00.000Z,
2240,,,,10223.0,9959.0,264.0,,2026-02-06T00:00:00.000Z,
2124,,,,254.1,254.1,,,2026-02-06T00:00:00.000Z,
5286,,,,4320193.28,30622.01,,180208.1,2026-02-06T00:00:00.000Z,
4650,,,,25474846.79,3299801.49,20957223.5,3756931.93,2026-05-08T00:00:00.000Z,
2242,,,,361.0,361.0,,,2026-02-06T00:00:00.000Z,
5283,,,,186238.57,,,1868044.54,2026-02-06T00:00:00.000Z,
5266,,,,36010.87,13317.1,,0.0,2026-02-06T00:00:00.000Z,
2676,,,,236644.0,2875.55,,0.0,2026-02-06T00:00:00.000Z,
1415,,,,,,,573827.0,,
5038,,,,6824731.93,53280.54,,0.0,2026-02-06T00:00:00.000Z,
2848,,,,675577.69,4720.42,,0.0,2026-02-06T00:00:00.000Z,
5578,,,,,,,0.0,,
4172,,,,1925935.2,152336.86,1761500.51,192278.26,2026-02-06T00:00:00.000Z,
1721,,,,1315541.44,47053.28,1265438.28,0.0,2026-02-06T00:00:00.000Z,
1421,,,,,,,55096.0,,
4446,,,,1088251.32,110329.54,977921.78,0.0,2026-02-06T00:00:00.000Z,
5541,,,,,,,0.0,,
2843,,,,55983.46,,,0.0,2026-02-06T00:00:00.000Z,
2867,,,,703954.92,3835.42,,0.0,2026-02-06T00:00:00.000Z,
3616,,,,,,,,,
3617,,,,,,,,,
1929,,,,666648.61,50947.14,609797.68,112780.0,2026-02-06T00:00:00.000Z,
5408,,,,2259027.05,,,0.0,2026-02-06T00:00:00.000Z,
2929,,,,431159.39,36863.35,,0.0,2026-02-06T00:00:00.000Z,
3131,,,,36153124.08,35640986.14,512137.94,,2026-02-06T00:00:00.000Z,
2905,,,,5806.02,862.0,,0.0,2026-02-06T00:00:00.000Z,
2715,,,,1374650.98,,,0.0,2026-02-06T00:00:00.000Z,
1434,,,,,,,1396381.0,,
4662,,,,15343849.32,52228.46,14975478.06,373450.07,2026-05-08T00:00:00.000Z,
2724,,,,1978366.88,194950.43,,0.0,2026-02-06T00:00:00.000Z,
2812,,,,213487.93,203739.39,,0.0,2026-02-06T00:00:00.000Z,
2379,,,,1008947.13,1008947.13,,,2026-02-06T00:00:00.000Z,
